brand,model,fuel,no of owner,yrs,transmission,kms,prices
Audi,A6,Petrol,1st,2014.0,Automatic,"29,000","25,00,000"
Audi,A6,Diesel,1st,2011.0,Automatic,"67,000","13,00,000"
Audi,A6,Diesel,1st,2012.0,Automatic,"60,000","12,50,000"
Audi,A6,Diesel,2nd,2010.0,Automatic,"94,000","5,25,000"
Audi,Q5,Diesel,2nd,2012.0,Automatic,"85,000","13,85,000"
Audi,Q5,Diesel,1st,2013.0,Automatic,"95,000","20,00,000"
Audi,Q5,Diesel,3rd,2012.0,Automatic,"80,000","10,00,000"
Audi,Q3,Diesel,1st,2019.0,Automatic,"600,000","38,00,000"
Audi,Q7,Diesel,1st,2019.0,Automatic,"48,000","65,00,000"
Audi,Q3,Diesel,2nd,2017.0,Manual,"45,427","23,50,000"
Audi,A5,Diesel,1st,2017.0,Automatic,"20,600","40,00,000"
Audi,A8,Diesel,2nd,2006.0,Automatic,"70,000","5,00,000"
Audi,A3,Diesel,1st,2015.0,Automatic,"120,000","18,00,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"80,000","15,50,000"
Audi,Q7,Diesel,1st,2013.0,Automatic,"49,500","18,75,000"
Audi,Q7,Diesel,1st,2019.0,Automatic,"48,000","65,00,000"
Audi,Q5,Diesel,3rd,2011.0,Automatic,"110,000","13,75,000"
Audi,Q7,Diesel,1st,2015.0,Automatic,"74,000","31,75,000"
Audi,Q3,Diesel,1st,2016.0,Automatic,"89,500","26,00,000"
Audi,A6,Diesel,1st,2015.0,Automatic,"61,000","15,75,111"
Audi,A6,Diesel,2nd,2012.0,Automatic,"78,000","16,00,000"
Audi,Q7,Diesel,3rd,2010.0,Automatic,"60,000","16,80,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"95,000","11,50,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"85,000","9,50,000"
Audi,Q3,Diesel,2nd,2015.0,Automatic,"50,000","14,00,000"
Audi,A6,Diesel,1st,2011.0,Automatic,"148,000","12,75,000"
Audi,A4,Diesel,2nd,2012.0,Automatic,"58,000","10,50,000"
Audi,A3,CNG & Hybrids,2nd,2017.0,Manual,222,"15,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"95,000","12,50,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"70,000","10,15,000"
Audi,A4,Petrol,1st,2014.0,Automatic,"76,000","11,50,000"
Audi,A6,Diesel,1st,2014.0,Automatic,"64,000","15,00,000"
Audi,Q3,Diesel,1st,2014.0,Automatic,"50,000","15,00,000"
Audi,Q5,Diesel,1st,2016.0,Automatic,"47,000","26,50,000"
Audi,Q3,Diesel,2nd,2013.0,Automatic,"79,000","13,75,000"
Audi,A6,Diesel,2nd,2012.0,Automatic,"60,000","11,75,000"
Audi,A4,Petrol,1st,2011.0,Automatic,"60,000","8,49,999"
Audi,A6,Diesel,1st,2010.0,Automatic,"39,000","15,50,000"
Audi,Q7,Diesel,2nd,2012.0,Automatic,"110,000","18,25,000"
Audi,Q3,Diesel,1st,2018.0,Automatic,"40,362","19,99,000"
Audi,Q5,Diesel,,2018.0,Automatic,"65,000","48,00,000"
Audi,Q5,Diesel,2nd,2014.0,Automatic,"89,000","17,11,000"
Audi,Q5,Diesel,1st,2013.0,Automatic,"45,000","16,00,000"
